SL. NO,DEPOT,DATE,EMP_ID,VEH_NO,TYPE,SER_NO,KMS,ENGS,D/N_OUT,SCHS.,LONG TYPE,ROUTE,HOURS,DOUBLE_DUTY
7689,MAHABOOBABAD,08-03-2024,652811,AP29Z2370,OR,9015,240,14642,D,0,PALLEVELUGU,EXTRA,8,0
7690,MAHABOOBABAD,10-03-2024,652811,AP29Z1741,OR,WL13,300,12904,D,1,PALLEVELUGU,WL/KSDM,8,0
7691,MAHABOOBABAD,11-03-2024,652811,AP29Z3151,OR,NP02,400,16142,D,1,PALLEVELUGU,MHBD-KMM,8,0
7692,MAHABOOBABAD,13-03-2024,652811,AP29Z1741,OR,WL13,300,25634,D,1,PALLEVELUGU,WL/KSDM,8,0
7693,MAHABOOBABAD,14-03-2024,652811,AP29Z3151,OR,NP02,400,21472,D,1,PALLEVELUGU,MHBD-KMM,8,0
7694,MAHABOOBABAD,24-03-2024,652811,AP29Z1741,OR,WL13,300,12972,D,1,PALLEVELUGU,WL/KSDM,8,0
7695,MAHABOOBABAD,25-03-2024,652811,AP29Z3151,OR,NP02,400,19632,D,1,PALLEVELUGU,MHBD-KMM,8,0
7696,MAHABOOBABAD,27-03-2024,652811,AP29Z1741,OR,WL13,300,28226,D,1,PALLEVELUGU,WL/KSDM,8,0
7697,MAHABOOBABAD,28-03-2024,652811,AP29Z3151,OR,NP02,400,24986,D,1,PALLEVELUGU,MHBD-KMM,8,0
7698,MAHABOOBABAD,29-03-2024,652811,AP29Z2081,OR,NP03,400,25920,D,1,PALLEVELUGU,MHBD-KMM,8,0
7699,MAHABOOBABAD,31-03-2024,652811,AP36Z0041,OR,VTL1,406,30638,D,1,PALLEVELUGU,VTDPL,8,0
7700,MAHABOOBABAD,01-04-2023,652818,AP29Z3151,OR,MUF3,300,6688,D,1,PALLEVELUGU,JAYYARAM,8,0
7701,MAHABOOBABAD,02-04-2023,652818,AP29Z2401,OR,NP03,400,9942,D,1,PALLEVELUGU,MHB-NSPT,8,0
7702,MAHABOOBABAD,05-04-2023,652818,AP36Z0143,OR,YS01,348,9178,D,1,PALLEVELUGU,SRPT/TNC,8,0
7703,MAHABOOBABAD,09-04-2023,652818,AP29Z3151,OR,NP03,400,12016,D,1,PALLEVELUGU,MHB-NSPT,8,0
7704,MAHABOOBABAD,12-04-2023,652818,AP36Z0143,OR,YS01,348,10766,D,1,PALLEVELUGU,SRPT/TNC,8,0
7705,MAHABOOBABAD,15-04-2023,652818,AP29Z3151,OR,MUF3,300,4126,D,1,PALLEVELUGU,JAYYARAM,8,0
7706,MAHABOOBABAD,16-04-2023,652818,AP29Z2401,OR,NP03,400,13624,D,1,PALLEVELUGU,MHB-NSPT,8,0
7707,MAHABOOBABAD,19-04-2023,652818,AP36Z0143,OR,YS01,348,7592,D,1,PALLEVELUGU,SRPT/TNC,8,0
7708,MAHABOOBABAD,23-04-2023,652818,AP29Z2401,OR,NP03,400,11006,D,1,PALLEVELUGU,MHB-NSPT,8,0
7709,MAHABOOBABAD,28-04-2023,652818,AP36Z0143,OR,NP03,400,9048,D,1,PALLEVELUGU,MHB-NSPT,8,0
7710,MAHABOOBABAD,30-04-2023,652818,AP29Z2401,OR,NP03,400,13670,D,1,PALLEVELUGU,MHB-NSPT,8,0
7711,MAHABOOBABAD,03-05-2023,652818,AP36Z0143,OR,YS01,348,12286,D,1,PALLEVELUGU,SRPT/TNC,8,0
7712,MAHABOOBABAD,06-05-2023,652818,AP36Z0031,OR,MUF3,300,10874,D,1,PALLEVELUGU,JAYYARAM,8,0
7713,MAHABOOBABAD,07-05-2023,652818,AP29Z2401,OR,NP03,400,20008,D,1,PALLEVELUGU,MHB-NSPT,8,0
7714,MAHABOOBABAD,10-05-2023,652818,AP36Z0143,OR,YS01,348,13532,D,1,PALLEVELUGU,SRPT/TNC,8,0
7715,MAHABOOBABAD,13-05-2023,652818,AP29Z2172,OR,TS07,346,8562,D,1,PALLEVELUGU,MHB-GPUR,8,0
7716,MAHABOOBABAD,14-05-2023,652818,AP29Z2401,OR,NP03,420,16122,D,1,PALLEVELUGU,MHB-NSPT,8,0
7717,MAHABOOBABAD,17-05-2023,652818,AP36Z0143,OR,YS01,348,13292,D,1,PALLEVELUGU,SRPT/TNC,8,0
7718,MAHABOOBABAD,20-05-2023,652818,AP36Z0031,OR,CHG1,300,8820,D,1,PALLEVELUGU,WL/KSDM,8,0
7719,MAHABOOBABAD,21-05-2023,652818,AP36Z0163,OR,NP03,400,18396,D,1,PALLEVELUGU,MHBD-KMM,8,0
7720,MAHABOOBABAD,22-05-2023,652818,AP36Z0182,OR,ASP2,348,13676,D,1,PALLEVELUGU,SRPT/TNC,8,1
7721,MAHABOOBABAD,26-05-2023,652818,AP36Z0165,OR,GPR1,300,14622,D,1,PALLEVELUGU,WL/KSDM,8,0
7722,MAHABOOBABAD,27-05-2023,652818,AP36Z0143,OR,9009,228,7636,D,1,PALLEVELUGU,EXTRA,8,0
7723,MAHABOOBABAD,28-05-2023,652818,AP29Z3153,OR,NP03,400,19266,D,1,PALLEVELUGU,MHBD-KMM,8,0
7724,MAHABOOBABAD,31-05-2023,652818,AP36Z0143,OR,YS01,348,20574,D,1,PALLEVELUGU,SRPT/TNC,8,0
7725,MAHABOOBABAD,03-06-2023,652818,AP36Z0143,OR,YS01,348,17474,D,1,PALLEVELUGU,SRPT/TNC,8,0
7726,MAHABOOBABAD,04-06-2023,652818,AP29Z2401,OR,NP03,400,17696,D,1,PALLEVELUGU,MHBD-KMM,8,0
7727,MAHABOOBABAD,07-06-2023,652818,AP36Z0143,OR,YS01,348,15074,D,1,PALLEVELUGU,SRPT/TNC,8,0
7728,MAHABOOBABAD,08-06-2023,652818,AP03Z5028,OR,GN01,300,17656,D,1,PALLEVELUGU,WL/KSDM,8,0
7729,MAHABOOBABAD,09-06-2023,652818,AP36Z0182,OR,9025,400,13836,D,1,PALLEVELUGU,EXTRA,8,0
7730,MAHABOOBABAD,11-06-2023,652818,AP29Z2401,OR,NP03,400,18670,D,1,PALLEVELUGU,MHBD-KMM,8,0
7731,MAHABOOBABAD,14-06-2023,652818,AP36Z0143,OR,YS01,348,16286,D,1,PALLEVELUGU,SRPT/TNC,8,0
7732,MAHABOOBABAD,15-06-2023,652818,AP36Z0184,OR,9025,410,9742,D,1,PALLEVELUGU,EXTRA,8,0
7733,MAHABOOBABAD,17-06-2023,652818,AP36Z0182,OR,ASP2,348,11248,D,1,PALLEVELUGU,SRPT/TNC,8,0
7734,MAHABOOBABAD,18-06-2023,652818,AP36Z0140,OR,NP03,400,10896,D,1,PALLEVELUGU,MHBD-KMM,8,0
7735,MAHABOOBABAD,21-06-2023,652818,AP36Z0140,OR,YS01,348,12376,D,1,PALLEVELUGU,SRPT/TNC,8,0
7736,MAHABOOBABAD,24-06-2023,652818,TS26Z0019,OR,MUF3,300,8612,D,1,PALLEVELUGU,JAYYARAM,8,0
7737,MAHABOOBABAD,25-06-2023,652818,AP29Z2081,OR,NP03,400,17552,D,1,PALLEVELUGU,MHBD-KMM,8,0
7738,MAHABOOBABAD,28-06-2023,652818,AP36Z0143,OR,YS01,348,13262,D,1,PALLEVELUGU,SRPT/TNC,8,0
7739,MAHABOOBABAD,01-07-2023,652818,AP36Z0140,OR,MUF3,300,5440,D,1,PALLEVELUGU,JAYYARAM,8,0
7740,MAHABOOBABAD,02-07-2023,652818,AP29Z2081,OR,NP03,400,17562,D,1,PALLEVELUGU,MHBD-KMM,8,0
7741,MAHABOOBABAD,13-07-2023,652818,AP03Z5028,OR,GN01,150,5484,D,1,PALLEVELUGU,WL/KSDM,8,0
7742,MAHABOOBABAD,14-07-2023,652818,AP36Z0041,OR,VTL1,406,12958,D,1,PALLEVELUGU,VTDPL,8,0
7743,MAHABOOBABAD,16-07-2023,652818,AP29Z2081,OR,NP03,400,16820,D,1,PALLEVELUGU,MHBD-KMM,8,0
7744,MAHABOOBABAD,24-07-2023,652818,AP29Z2081,OR,NP03,400,16096,D,1,PALLEVELUGU,MHBD-KMM,8,0
7745,MAHABOOBABAD,26-07-2023,652818,AP36Z0149,OR,KM01,400,14794,D,1,PALLEVELUGU,MHBD-KMM,8,0
7746,MAHABOOBABAD,28-07-2023,652818,AP36Z0190,OR,9005,160,3472,D,0,PALLEVELUGU,EXTRA,8,0
7747,MAHABOOBABAD,30-07-2023,652818,AP29Z2081,OR,NP03,400,13116,D,1,PALLEVELUGU,MHBD-KMM,8,0
7748,MAHABOOBABAD,02-08-2023,652818,AP36Z0143,OR,YS01,348,10124,D,1,PALLEVELUGU,SRPT/TNC,8,0
7749,MAHABOOBABAD,05-08-2023,652818,AP36Z0190,OR,9002,240,3358,D,0,PALLEVELUGU,EXTRA,8,0
7750,MAHABOOBABAD,06-08-2023,652818,AP29Z2081,OR,NP03,400,13046,D,1,PALLEVELUGU,MHBD-KMM,8,0
7751,MAHABOOBABAD,09-08-2023,652818,AP36Z0143,OR,YS01,348,10050,D,1,PALLEVELUGU,SRPT/TNC,8,0
7752,MAHABOOBABAD,10-08-2023,652818,AP36Z0011,OR,KLD2,340,10048,D,1,PALLEVELUGU,KLD/WGL,8,0
7753,MAHABOOBABAD,11-08-2023,652818,AP36Z0041,OR,VTL1,410,11794,D,1,PALLEVELUGU,VTDPL,8,0
7754,MAHABOOBABAD,13-08-2023,652818,AP29Z2081,OR,NP03,400,12000,D,1,PALLEVELUGU,MHBD-KMM,8,0
7755,MAHABOOBABAD,16-08-2023,652818,AP36Z0143,OR,YS01,348,10826,D,1,PALLEVELUGU,SRPT/TNC,8,0
7756,MAHABOOBABAD,19-08-2023,652818,AP36Z0031,OR,MUF3,300,3448,D,1,PALLEVELUGU,JAYYARAM,8,0
7757,MAHABOOBABAD,20-08-2023,652818,AP29Z2081,OR,NP03,400,15244,D,1,PALLEVELUGU,MHBD-KMM,8,0
7758,MAHABOOBABAD,23-08-2023,652818,AP36Z0143,OR,YS01,348,9920,D,1,PALLEVELUGU,SRPT/TNC,8,0
7759,MAHABOOBABAD,27-08-2023,652818,AP29Z1962,OR,NP03,400,19392,D,1,PALLEVELUGU,MHBD-KMM,8,0
7760,MAHABOOBABAD,30-08-2023,652818,AP36Z0143,OR,YS01,348,18404,D,1,PALLEVELUGU,SRPT/TNC,8,0
7761,MAHABOOBABAD,31-08-2023,652818,AP36Z0018,OR,KM05,400,25700,D,1,PALLEVELUGU,MHBD-KMM,8,0
7762,MAHABOOBABAD,02-09-2023,652818,AP36Z0190,OR,MUF3,320,10026,D,1,PALLEVELUGU,JAYYARAM,8,0
7763,MAHABOOBABAD,03-09-2023,652818,AP29Z2081,OR,NP03,400,15434,D,1,PALLEVELUGU,MHBD-KMM,8,0
7764,MAHABOOBABAD,06-09-2023,652818,AP36Z0143,OR,YS01,348,12588,D,1,PALLEVELUGU,SRPT/TNC,8,0
7765,MAHABOOBABAD,09-09-2023,652818,AP36Z0182,OR,ASP2,348,11404,D,1,PALLEVELUGU,SRPT/TNC,8,0
7766,MAHABOOBABAD,10-09-2023,652818,AP29Z2081,OR,NP03,400,18762,D,1,PALLEVELUGU,MHBD-KMM,8,0
7767,MAHABOOBABAD,13-09-2023,652818,AP36Z0143,OR,YS01,348,9448,D,1,PALLEVELUGU,SRPT/TNC,8,0
7768,MAHABOOBABAD,17-09-2023,652818,AP29Z2081,OR,NP03,400,17914,D,1,PALLEVELUGU,MHBD-KMM,8,0
7769,MAHABOOBABAD,20-09-2023,652818,AP36Z0143,OR,YS01,348,11420,D,1,PALLEVELUGU,SRPT/TNC,8,0
7770,MAHABOOBABAD,24-09-2023,652818,AP29Z2081,OR,NP03,400,13210,D,1,PALLEVELUGU,MHBD-KMM,8,0
7771,MAHABOOBABAD,01-10-2023,652818,AP29Z2081,OR,NP03,400,10484,D,1,PALLEVELUGU,MHBD-KMM,8,0
7772,MAHABOOBABAD,04-10-2023,652818,AP36Z0143,OR,YS01,348,13798,D,1,PALLEVELUGU,SRPT/TNC,8,0
7773,MAHABOOBABAD,07-10-2023,652818,AP29Z2370,OR,MUF3,300,3186,D,1,PALLEVELUGU,JAYYARAM,8,0
7774,MAHABOOBABAD,08-10-2023,652818,AP29Z2081,OR,NP03,400,11712,D,1,PALLEVELUGU,MHBD-KMM,8,0
7775,MAHABOOBABAD,13-10-2023,652818,AP29Z1741,OR,WL13,300,12086,D,1,PALLEVELUGU,WL/KSDM,8,0
7776,MAHABOOBABAD,14-10-2023,652818,AP36Z0011,OR,CHG1,300,6420,D,1,PALLEVELUGU,WL/KSDM,8,0
7777,MAHABOOBABAD,15-10-2023,652818,AP29Z2081,OR,NP03,400,11378,D,1,PALLEVELUGU,MHBD-KMM,8,0
7778,MAHABOOBABAD,18-10-2023,652818,AP36Z0143,OR,YS01,348,13778,D,1,PALLEVELUGU,SRPT/TNC,8,0
7779,MAHABOOBABAD,22-10-2023,652818,AP36Z0216,OR,9023,400,38348,D,0,PALLEVELUGU,EXTRA,8,0
7780,MAHABOOBABAD,25-10-2023,652818,AP36Z0143,OR,YS01,348,16782,D,1,PALLEVELUGU,SRPT/TNC,8,0
7781,MAHABOOBABAD,28-10-2023,652818,AP36Z0159,OR,TS07,330,9850,D,1,PALLEVELUGU,MHB-GPUR,8,0
7782,MAHABOOBABAD,29-10-2023,652818,AP29Z2081,OR,NP03,400,12612,D,1,PALLEVELUGU,MHBD-KMM,8,0
7783,MAHABOOBABAD,01-11-2023,652818,AP36Z0143,OR,YS01,348,12624,D,1,PALLEVELUGU,SRPT/TNC,8,0
7784,MAHABOOBABAD,04-11-2023,652818,AP36Z0190,OR,MUF3,220,5188,D,1,PALLEVELUGU,JAYYARAM,8,0
7785,MAHABOOBABAD,05-11-2023,652818,AP29Z2081,OR,NP03,376,14058,D,1,PALLEVELUGU,MHBD-KMM,8,0
7786,MAHABOOBABAD,08-11-2023,652818,AP29Z3151,OR,YS01,348,10138,D,1,PALLEVELUGU,SRPT/TNC,8,0
7787,MAHABOOBABAD,12-11-2023,652818,AP29Z1962,OR,NP04,400,15530,D,1,PALLEVELUGU,MHBD-KMM,8,0
7788,MAHABOOBABAD,15-11-2023,652818,AP36Z0143,OR,YS01,348,14338,D,1,PALLEVELUGU,SRPT/TNC,8,0
7789,MAHABOOBABAD,18-11-2023,652818,AP36Z0190,OR,MUF3,300,7538,D,1,PALLEVELUGU,JAYYARAM,8,0
7790,MAHABOOBABAD,19-11-2023,652818,AP29Z2081,OR,NP03,400,17476,D,1,PALLEVELUGU,MHBD-KMM,8,0
7791,MAHABOOBABAD,22-11-2023,652818,AP36Z0143,OR,YS01,348,12734,D,1,PALLEVELUGU,SRPT/TNC,8,0
7792,MAHABOOBABAD,25-11-2023,652818,AP36Z0011,OR,MUF3,300,9384,D,1,PALLEVELUGU,JAYYARAM,8,0
7793,MAHABOOBABAD,26-11-2023,652818,AP29Z2081,OR,NP03,400,13764,D,1,PALLEVELUGU,MHBD-KMM,8,0
7794,MAHABOOBABAD,29-11-2023,652818,AP36Z0149,OR,9007,120,34790,D,0,PALLEVELUGU,EXTRA,8,0
7795,MAHABOOBABAD,02-12-2023,652818,AP36Z0165,OR,MUF3,300,9396,D,1,PALLEVELUGU,JAYYARAM,8,0
7796,MAHABOOBABAD,03-12-2023,652818,AP29Z2081,OR,NP03,400,13384,D,1,PALLEVELUGU,MHBD-KMM,8,0
7797,MAHABOOBABAD,07-12-2023,652818,AP29Z2081,OR,NP03,400,21350,D,1,PALLEVELUGU,MHBD-KMM,8,1
7798,MAHABOOBABAD,10-12-2023,652818,AP29Z2081,OR,NP03,400,7202,D,1,PALLEVELUGU,MHBD-KMM,8,0
7799,MAHABOOBABAD,13-12-2023,652818,AP36Z0143,OR,YS01,348,5758,D,1,PALLEVELUGU,SRPT/TNC,8,0
7800,MAHABOOBABAD,16-12-2023,652818,AP36Z0190,OR,MUF3,300,15316,D,1,PALLEVELUGU,JAYYARAM,8,0
7801,MAHABOOBABAD,17-12-2023,652818,AP29Z2081,OR,NP03,400,17794,D,1,PALLEVELUGU,MHBD-KMM,8,0
7802,MAHABOOBABAD,20-12-2023,652818,AP36Z0143,OR,YS01,348,26534,D,1,PALLEVELUGU,SRPT/TNC,8,0
7803,MAHABOOBABAD,21-12-2023,652818,AP29Z3151,OR,NP02,400,23772,D,1,PALLEVELUGU,MHBD-KMM,8,0
7804,MAHABOOBABAD,23-12-2023,652818,AP29Z2401,OR,9018,446,20724,D,0,PALLEVELUGU,EXTRA,8,0
7805,MAHABOOBABAD,24-12-2023,652818,AP29Z2081,OR,NP03,400,24124,D,1,PALLEVELUGU,MHBD-KMM,8,1
7806,MAHABOOBABAD,27-12-2023,652818,AP36Z0143,OR,YS01,348,21070,D,1,PALLEVELUGU,SRPT/TNC,8,0
7807,MAHABOOBABAD,30-12-2023,652818,AP36Z0190,OR,MUF3,300,11834,D,1,PALLEVELUGU,JAYYARAM,8,0
7808,MAHABOOBABAD,31-12-2023,652818,AP29Z2081,OR,NP03,400,22472,D,1,PALLEVELUGU,MHBD-KMM,8,0
7809,MAHABOOBABAD,03-01-2024,652818,AP36Z0143,OR,YS01,348,21356,D,1,PALLEVELUGU,SRPT/TNC,8,0
7810,MAHABOOBABAD,06-01-2024,652818,AP36Z0176,OR,BDB4,300,11290,D,1,PALLEVELUGU,MNGLAVEDU,8,0
7811,MAHABOOBABAD,07-01-2024,652818,AP29Z2401,OR,NP03,400,12914,D,1,PALLEVELUGU,MHBD-KMM,8,0
7812,MAHABOOBABAD,10-01-2024,652818,AP36Z0143,OR,YS01,348,20504,D,1,PALLEVELUGU,SRPT/TNC,8,0
7813,MAHABOOBABAD,11-01-2024,652818,AP29Z2172,OR,ASP3,348,18268,D,1,PALLEVELUGU,SRPT/TNC,8,0
7814,MAHABOOBABAD,12-01-2024,652818,AP36Z0041,OR,VTL1,406,27506,D,1,PALLEVELUGU,VTDPL,8,0
7815,MAHABOOBABAD,14-01-2024,652818,AP29Z2081,OR,NP03,400,14652,D,1,PALLEVELUGU,MHBD-KMM,8,0
7816,MAHABOOBABAD,16-01-2024,652818,AP29Z1962,OR,NP04,400,25554,D,1,PALLEVELUGU,MHBD-KMM,8,0
7817,MAHABOOBABAD,19-01-2024,652818,AP36Z0030,OR,BDB3,330,11092,D,1,PALLEVELUGU,MHB-VSPL,8,0
7818,MAHABOOBABAD,20-01-2024,652818,AP36Z0190,OR,BDB2,350,9540,D,1,PALLEVELUGU,MH-NRSPT,8,0
7819,MAHABOOBABAD,21-01-2024,652818,AP29Z2081,OR,NP03,400,18822,D,1,PALLEVELUGU,MHBD-KMM,8,0
7820,MAHABOOBABAD,24-01-2024,652818,AP36Z0143,OR,YS01,348,16270,D,1,PALLEVELUGU,SRPT/TNC,8,0
7821,MAHABOOBABAD,27-01-2024,652818,AP29Z2370,OR,BDB1,306,8960,D,1,PALLEVELUGU,MHB-AMPL,8,0
7822,MAHABOOBABAD,28-01-2024,652818,AP29Z2081,OR,NP03,400,20136,D,1,PALLEVELUGU,MHBD-KMM,8,0
7823,MAHABOOBABAD,31-01-2024,652818,AP36Z0143,OR,YS01,348,24202,D,1,PALLEVELUGU,SRPT/TNC,8,0
7824,MAHABOOBABAD,03-02-2024,652818,AP36Z0030,OR,BDB3,330,9668,D,1,PALLEVELUGU,MHB-VSPL,8,0
7825,MAHABOOBABAD,04-02-2024,652818,AP29Z2081,OR,NP03,400,19678,D,1,PALLEVELUGU,MHBD-KMM,8,0
7826,MAHABOOBABAD,07-02-2024,652818,AP36Z0143,OR,YS01,348,15368,D,1,PALLEVELUGU,SRPT/TNC,8,0
7827,MAHABOOBABAD,10-02-2024,652818,AP36Z0258,OR,BDB4,300,13402,D,1,PALLEVELUGU,MNGLAVEDU,8,0
7828,MAHABOOBABAD,11-02-2024,652818,AP29Z2081,OR,NP03,400,27620,D,1,PALLEVELUGU,MHBD-KMM,8,0
7829,MAHABOOBABAD,14-02-2024,652818,AP36Z0143,OR,YS01,348,17462,D,1,PALLEVELUGU,SRPT/TNC,8,0
7830,MAHABOOBABAD,18-02-2024,652818,AP29Z2081,OR,NP03,400,26036,D,1,PALLEVELUGU,MHBD-KMM,8,0
7831,MAHABOOBABAD,21-02-2024,652818,AP36Z0143,OR,YS01,348,21826,D,1,PALLEVELUGU,SRPT/TNC,8,0
7832,MAHABOOBABAD,25-02-2024,652818,AP36Z0165,OR,9626,355,4854,D,1,PALLEVELUGU,MHBD-MDRMSPL,8,0
7833,MAHABOOBABAD,26-02-2024,652818,AP36Z0165,OR,BPT1,300,12456,D,1,PALLEVELUGU,WL/KSDM,8,0
7834,MAHABOOBABAD,28-02-2024,652818,AP36Z0143,OR,YS01,348,17544,D,1,PALLEVELUGU,SRPT/TNC,8,0
7835,MAHABOOBABAD,02-03-2024,652818,AP36Z0030,OR,BDB3,330,10140,D,1,PALLEVELUGU,MHB-VSPL,8,0
7836,MAHABOOBABAD,03-03-2024,652818,AP29Z2081,OR,NP03,400,18686,D,1,PALLEVELUGU,MHBD-KMM,8,0
7837,MAHABOOBABAD,06-03-2024,652818,AP36Z0143,OR,YS01,348,19836,D,1,PALLEVELUGU,SRPT/TNC,8,0
7838,MAHABOOBABAD,09-03-2024,652818,AP29Z2370,OR,CHG1,300,12748,D,1,PALLEVELUGU,WL/KSDM,8,0
7839,MAHABOOBABAD,10-03-2024,652818,AP29Z2081,OR,NP03,400,20982,D,1,PALLEVELUGU,MHBD-KMM,8,0
7840,MAHABOOBABAD,13-03-2024,652818,AP29Z3153,OR,CHG1,300,20178,D,1,PALLEVELUGU,WL/KSDM,8,0
7841,MAHABOOBABAD,16-03-2024,652818,AP36Z0176,OR,BDB4,300,10754,D,1,PALLEVELUGU,MNGLAVEDU,8,0
7842,MAHABOOBABAD,17-03-2024,652818,AP29Z2081,OR,NP03,400,20478,D,1,PALLEVELUGU,MHBD-KMM,8,0
7843,MAHABOOBABAD,20-03-2024,652818,AP36Z0143,OR,YS01,348,20846,D,1,PALLEVELUGU,SRPT/TNC,8,0
7844,MAHABOOBABAD,21-03-2024,652818,AP29Z3151,OR,NP02,410,16966,D,1,PALLEVELUGU,MHBD-KMM,8,0
7845,MAHABOOBABAD,24-03-2024,652818,AP29Z2081,OR,NP03,400,14768,D,1,PALLEVELUGU,MHBD-KMM,8,0
7846,MAHABOOBABAD,27-03-2024,652818,AP36Z0143,OR,YS01,348,19874,D,1,PALLEVELUGU,SRPT/TNC,8,0
7847,MAHABOOBABAD,30-03-2024,652818,AP36Z0176,OR,9001,256,16652,D,0,PALLEVELUGU,EXTRA,8,0
7848,MAHABOOBABAD,31-03-2024,652818,AP29Z2081,OR,NP03,400,17950,D,1,PALLEVELUGU,MHBD-KMM,8,0
7849,MAHABOOBABAD,01-04-2023,652819,AP36Z0176,EX,VWD1,550,16864,D,1,EXPRESS,YLD-VWDA,8,0
7850,MAHABOOBABAD,04-04-2023,652819,AP36Z0176,EX,VWD1,550,16572,D,1,EXPRESS,YLD-VWDA,8,0
7851,MAHABOOBABAD,07-04-2023,652819,AP36Z0216,OR,BPT1,300,9828,D,1,PALLEVELUGU,WL/KSDM,8,0
7852,MAHABOOBABAD,08-04-2023,652819,AP36Z0176,EX,VWD1,550,16540,D,1,EXPRESS,YLD-VWDA,8,0
7853,MAHABOOBABAD,10-04-2023,652819,AP36Z0216,OR,BPT1,300,10094,D,1,PALLEVELUGU,WL/KSDM,8,0
7854,MAHABOOBABAD,11-04-2023,652819,AP36Z0176,EX,VWD1,550,15934,D,1,EXPRESS,YLD-VWDA,8,0
7855,MAHABOOBABAD,14-04-2023,652819,AP36Z0216,OR,BPT1,300,6196,D,1,PALLEVELUGU,WL/KSDM,8,0
7856,MAHABOOBABAD,17-04-2023,652819,AP36Z0216,OR,BPT1,300,7350,D,1,PALLEVELUGU,WL/KSDM,8,0
7857,MAHABOOBABAD,18-04-2023,652819,AP36Z0176,EX,VWD1,550,19092,D,1,EXPRESS,YLD-VWDA,8,0
7858,MAHABOOBABAD,21-04-2023,652819,AP36Z0216,OR,BPT1,300,10998,D,1,PALLEVELUGU,WL/KSDM,8,0
7859,MAHABOOBABAD,24-04-2023,652819,AP36Z0216,OR,BPT1,300,10364,D,1,PALLEVELUGU,WL/KSDM,8,0
7860,MAHABOOBABAD,25-04-2023,652819,AP36Z0176,EX,VWD1,550,19316,D,1,EXPRESS,YLD-VWDA,8,0
7861,MAHABOOBABAD,28-04-2023,652819,AP36Z0216,OR,BPT1,300,8780,D,1,PALLEVELUGU,WL/KSDM,8,0
7862,MAHABOOBABAD,29-04-2023,652819,AP36Z0176,EX,VWD1,550,13352,D,1,EXPRESS,YLD-VWDA,8,0
7863,MAHABOOBABAD,01-05-2023,652819,AP36Z0216,OR,BPT1,300,6480,D,1,PALLEVELUGU,WL/KSDM,8,0
7864,MAHABOOBABAD,02-05-2023,652819,AP36Z0176,EX,VWD1,550,21590,D,1,EXPRESS,YLD-VWDA,8,0
7865,MAHABOOBABAD,05-05-2023,652819,AP36Z0216,OR,BPT1,300,15246,D,1,PALLEVELUGU,WL/KSDM,8,0
7866,MAHABOOBABAD,06-05-2023,652819,AP36Z0246,EX,VWD1,472,21778,D,1,EXPRESS,YLD-VWDA,8,0
7867,MAHABOOBABAD,08-05-2023,652819,AP36Z0216,OR,BPT1,300,8220,D,1,PALLEVELUGU,WL/KSDM,8,0
7868,MAHABOOBABAD,09-05-2023,652819,AP36Z0246,EX,VWD1,476,16666,D,1,EXPRESS,YLD-VWDA,8,0
7869,MAHABOOBABAD,12-05-2023,652819,AP36Z0216,OR,BPT1,300,8860,D,1,PALLEVELUGU,WL/KSDM,8,0
7870,MAHABOOBABAD,13-05-2023,652819,AP36Z0246,OR,VWD1,478,17126,D,1,PALLEVELUGU,YLD-VWDA,8,0
7871,MAHABOOBABAD,15-05-2023,652819,AP36Z0216,OR,BPT1,300,9852,D,1,PALLEVELUGU,WL/KSDM,8,0
7872,MAHABOOBABAD,16-05-2023,652819,AP36Z0246,OR,VWD1,476,18512,D,1,PALLEVELUGU,YLD-VWDA,8,0
7873,MAHABOOBABAD,19-05-2023,652819,AP36Z0216,OR,BPT1,300,7850,D,1,PALLEVELUGU,WL/KSDM,8,0
7874,MAHABOOBABAD,20-05-2023,652819,AP36Z0246,OR,VWD1,472,16202,D,1,PALLEVELUGU,YLD-VWDA,8,0
7875,MAHABOOBABAD,22-05-2023,652819,AP36Z0216,OR,BPT1,300,12724,D,1,PALLEVELUGU,WL/KSDM,8,0
7876,MAHABOOBABAD,23-05-2023,652819,AP36Z0246,OR,VWD1,472,18894,D,1,PALLEVELUGU,YLD-VWDA,8,0
7877,MAHABOOBABAD,24-05-2023,652819,AP29Z2401,OR,9015,400,16092,D,1,PALLEVELUGU,EXTRA,8,0
7878,MAHABOOBABAD,26-05-2023,652819,AP29Z2081,OR,BPT1,300,14020,D,1,PALLEVELUGU,WL/KSDM,8,0
7879,MAHABOOBABAD,27-05-2023,652819,AP36Z0176,OR,VWD1,472,18372,D,1,PALLEVELUGU,YLD-VWDA,8,0
7880,MAHABOOBABAD,29-05-2023,652819,AP36Z0216,OR,BPT1,300,14886,D,1,PALLEVELUGU,WL/KSDM,8,0
7881,MAHABOOBABAD,30-05-2023,652819,AP36Z0176,OR,VWD1,472,27692,D,1,PALLEVELUGU,YLD-VWDA,8,0
7882,MAHABOOBABAD,02-06-2023,652819,AP36Z0216,OR,BPT1,300,16572,D,1,PALLEVELUGU,WL/KSDM,8,0
7883,MAHABOOBABAD,03-06-2023,652819,AP36Z0176,OR,VWD1,472,26654,D,1,PALLEVELUGU,YLD-VWDA,8,0
7884,MAHABOOBABAD,05-06-2023,652819,AP36Z0216,OR,BPT1,300,16866,D,1,PALLEVELUGU,WL/KSDM,8,0
